Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
82	wheeler237	1546741147.530	    62.273	0	0	0	0	./wrapper1.sh \[-4.8,1.0,82\] > conn.log
85	wheeler231	1546741150.275	    60.190	0	0	0	0	./wrapper1.sh \[-4.8,1.6,85\] > conn.log
89	wheeler233	1546741152.038	    60.104	0	0	0	0	./wrapper1.sh \[-4.8,2.4,89\] > conn.log
86	wheeler236	1546741151.622	    61.361	0	0	0	0	./wrapper1.sh \[-4.8,1.8,86\] > conn.log
88	wheeler238	1546741151.756	    61.430	0	0	0	0	./wrapper1.sh \[-4.8,2.2,88\] > conn.log
87	wheeler246	1546741151.710	    61.670	0	0	0	0	./wrapper1.sh \[-4.8,2.0,87\] > conn.log
90	wheeler239	1546741166.341	    59.309	0	0	0	0	./wrapper1.sh \[-4.8,2.6,90\] > conn.log
91	wheeler228	1546741207.259	    59.697	0	0	0	0	./wrapper1.sh \[-4.8,2.8,91\] > conn.log
92	wheeler235	1546741207.641	    60.578	0	0	0	0	./wrapper1.sh \[-4.8,3.0,92\] > conn.log
93	wheeler232	1546741208.203	    60.612	0	0	0	0	./wrapper1.sh \[-4.8,3.2,93\] > conn.log
95	wheeler231	1546741210.477	    60.746	0	0	0	0	./wrapper1.sh \[-4.8,3.6,95\] > conn.log
94	wheeler237	1546741209.816	    62.477	0	0	0	0	./wrapper1.sh \[-4.8,3.4,94\] > conn.log
96	wheeler233	1546741212.155	    60.578	0	0	0	0	./wrapper1.sh \[-4.8,3.8,96\] > conn.log
99	wheeler246	1546741213.393	    59.899	0	0	0	0	./wrapper1.sh \[-4.8,4.4,99\] > conn.log
98	wheeler238	1546741213.199	    60.675	0	0	0	0	./wrapper1.sh \[-4.8,4.2,98\] > conn.log
97	wheeler236	1546741212.996	    61.648	0	0	0	0	./wrapper1.sh \[-4.8,4.0,97\] > conn.log
49	wheeler240	1546740966.062	   312.443	0	0	0	0	./wrapper1.sh \[-5.0,4.6,49\] > conn.log
100	wheeler239	1546741225.663	    60.361	0	0	0	0	./wrapper1.sh \[-4.8,4.6,100\] > conn.log
104	wheeler231	1546741271.237	    60.691	0	0	0	0	./wrapper1.sh \[-4.6,-4.8,104\] > conn.log
101	wheeler228	1546741266.971	    65.567	0	0	0	0	./wrapper1.sh \[-4.8,4.8,101\] > conn.log
102	wheeler235	1546741268.233	    64.450	0	0	0	0	./wrapper1.sh \[-4.8,5.0,102\] > conn.log
103	wheeler232	1546741268.828	    63.931	0	0	0	0	./wrapper1.sh \[-4.6,-5.0,103\] > conn.log
107	wheeler246	1546741273.305	    59.605	0	0	0	0	./wrapper1.sh \[-4.6,-4.2,107\] > conn.log
105	wheeler237	1546741272.307	    61.340	0	0	0	0	./wrapper1.sh \[-4.6,-4.6,105\] > conn.log
108	wheeler238	1546741273.886	    61.071	0	0	0	0	./wrapper1.sh \[-4.6,-4.0,108\] > conn.log
106	wheeler233	1546741272.744	    62.736	0	0	0	0	./wrapper1.sh \[-4.6,-4.4,106\] > conn.log
109	wheeler236	1546741274.657	    61.299	0	0	0	0	./wrapper1.sh \[-4.6,-3.8,109\] > conn.log
110	wheeler240	1546741278.517	    58.884	0	0	0	0	./wrapper1.sh \[-4.6,-3.6,110\] > conn.log
111	wheeler239	1546741286.038	    59.275	0	0	0	0	./wrapper1.sh \[-4.6,-3.4,111\] > conn.log
112	wheeler231	1546741331.945	    59.726	0	0	0	0	./wrapper1.sh \[-4.6,-3.2,112\] > conn.log
113	wheeler228	1546741332.549	    60.230	0	0	0	0	./wrapper1.sh \[-4.6,-3.0,113\] > conn.log
114	wheeler235	1546741332.694	    60.496	0	0	0	0	./wrapper1.sh \[-4.6,-2.8,114\] > conn.log
116	wheeler246	1546741332.924	    61.293	0	0	0	0	./wrapper1.sh \[-4.6,-2.4,116\] > conn.log
115	wheeler232	1546741332.772	    61.781	0	0	0	0	./wrapper1.sh \[-4.6,-2.6,115\] > conn.log
117	wheeler237	1546741333.659	    60.989	0	0	0	0	./wrapper1.sh \[-4.6,-2.2,117\] > conn.log
118	wheeler238	1546741334.969	    61.324	0	0	0	0	./wrapper1.sh \[-4.6,-2.0,118\] > conn.log
119	wheeler233	1546741335.492	    60.962	0	0	0	0	./wrapper1.sh \[-4.6,-1.8,119\] > conn.log
121	wheeler240	1546741337.413	    59.626	0	0	0	0	./wrapper1.sh \[-4.6,-1.4,121\] > conn.log
120	wheeler236	1546741335.968	    63.878	0	0	0	0	./wrapper1.sh \[-4.6,-1.6,120\] > conn.log
122	wheeler239	1546741345.325	    60.075	0	0	0	0	./wrapper1.sh \[-4.6,-1.2,122\] > conn.log
76	wheeler230	1546741089.537	   319.901	0	0	0	0	./wrapper1.sh \[-4.8,-0.2,76\] > conn.log
123	wheeler231	1546741391.686	    59.835	0	0	0	0	./wrapper1.sh \[-4.6,-1.0,123\] > conn.log
128	wheeler237	1546741394.659	    58.879	0	0	0	0	./wrapper1.sh \[-4.6,0.0,128\] > conn.log
